Roaster,URL,City,Coordinates
3-19,https://319coffee.com,San Francisco,"[67.0099, 24.8615]"
AKA Coffee,https://www.aka.coffee,Berkeley,"[67.0099, 24.8615]"
Addictive Coffee Roasters,https://addictivecoffee.com,San Rafael,"[67.0099, 24.8615]"
Alchemy Collective Cafe,http://www.alchemycollectivecafe.com,Berkeley,"[67.0099, 24.8615]"
Alta Organic Coffee,https://www.altaorganiccoffee.com,Santa Cruz,"[67.0099, 24.8615]"
Alvin's Coffees & Teas,https://www.alvinsofsf.com,San Francisco,"[67.0099, 24.8615]"
Andytown Coffee Roasters,https://www.andytownsf.com,San Francisco,"[67.0099, 24.8615]"
Awaken Cafe and Roasting,https://www.awakencafe.com,Oakland,"[67.0099, 24.8615]"
Barefoot Coffee,https://www.barefootcoffee.com,Santa Clara,"[67.0099, 24.8615]"
Bellwether Coffee,https://www.bellwethercoffee.com,Berkeley,"[67.0099, 24.8615]"
Bicycle Coffee,https://www.bicyclecoffeeco.com,Oakland,"[67.0099, 24.8615]"
Blue Bottle Coffee,https://bluebottlecoffee.com,Oakland,"[67.0099, 24.8615]"
Cafe Santana,https://cafesantanaroastingcompany.com,Oakland,"[67.0099, 24.8615]"
Caffe Roma,https://www.cafferoma.com,San Francisco,"[67.0099, 24.8615]"
Catahoula Coffee Company,https://www.catahoulacoffee.com,Richmond,"[67.0099, 24.8615]"
Chromatic Coffee,https://www.chromaticcoffee.com,San Jose,"[67.0099, 24.8615]"
Coloso,http://colosocoffee.com,Oakland,"[67.0099, 24.8615]"
Connoisseur Coffee Company,http://www.connoisseurcoffeeco.com,Redwood City,"[67.0099, 24.8615]"
Craftsman Coffee,https://crftsmncoffee.com,Pacifica,"[67.0099, 24.8615]"
Devout Coffee,https://www.devoutcoffee.com,Fremont,"[67.0099, 24.8615]"
Eco Delight,https://www.ecodelightcoffee.com,Petaluma,"[67.0099, 24.8615]"
Equator Coffees,https://www.equatorcoffees.com,San Francisco,"[67.0099, 24.8615]"
Estas Manos Coffee Roasters,https://www.estasmanoscoffee.com,San Francisco,"[67.0099, 24.8615]"
Flywheel Coffee Roasters,https://flywheelcoffee.com,San Francisco,"[67.0099, 24.8615]"
Foggy Hills Coffee,https://foggyhillscoffee.com,Kensington,"[67.0099, 24.8615]"
Graffeo,https://www.graffeo.com,San Francisco,"[67.0099, 24.8615]"
Highwire Coffee Roasters,https://www.wreckingballcoffee.com,San Francisco,"[67.0099, 24.8615]"
Katahoula Coffee,https://catahoulacoffee.com,Richmond,"[67.0099, 24.8615]"
Keystone,https://www.keystonecoffee.com,San Jose,"[67.0099, 24.8615]"
Linea Caffe,https://lineacaffe.com,San Francisco,"[67.0099, 24.8615]"
Los Gatos Coffee Roasting Company,http://lgcrc.com,Los Gatos,"[67.0099, 24.8615]"
Marin Coffee Roasters,https://marincoffeeroasters.co,Novato,"[67.0099, 24.8615]"
Mission Coffee Roasting,https://www.missioncoffeeroasting.com,Fremont,"[67.0099, 24.8615]"
Modern Coffee,http://moderncoffeeoakland.com,Oakland,"[67.0099, 24.8615]"
Moschetti,https://www.moschetti.com,Vallejo,"[67.0099, 24.8615]"
Mr. Espresso,https://www.mrespresso.com,Oakland,"[67.0099, 24.8615]"
Noe Valley Coffee,https://noevalleycoffee.com,San Francisco,"[67.0099, 24.8615]"
Nomadic Coffee,https://www.nomadiccoffee.com,Berkeley,"[67.0099, 24.8615]"
Ohm Coffee Roasters,https://www.ohmcoffee.com,Napa,"[67.0099, 24.8615]"
Pacific Bay Coffee Co,https://www.pacificbaycoffee.com,Walnut Creek,"[67.0099, 24.8615]"
Progeny Coffee,https://www.progenycoffee.com,Berkeley,"[67.0099, 24.8615]"
Red Bay Coffee,https://www.redbaycoffee.com,Oakland,"[67.0099, 24.8615]"
Rhetoric Coffee,https://rhetoriccoffee.com,Oakland,"[67.0099, 24.8615]"
Ritual Coffee Roasters,https://www.ritualroasters.com,San Francisco,"[67.0099, 24.8615]"
RoastCo,https://www.roastco.com,Oakland,"[67.0099, 24.8615]"
Saint Frank Coffee,https://www.saintfrankcoffee.com,San Francisco,"[67.0099, 24.8615]"
Scarlet City,https://www.scarletcityroasting.com,Oakland,"[67.0099, 24.8615]"
Sextant Coffee,https://sextantcoffee.com,San Francisco,"[67.0099, 24.8615]"
Sightglass Coffee,https://sightglasscoffee.com,San Francisco,"[67.0099, 24.8615]"
Slojoy Coffee,https://www.slojoy.com,Oakland,"[67.0099, 24.8615]"
Snow White Coffee,http://www.snowwhitecoffee.com,Oakland,"[67.0099, 24.8615]"
Soul Grind,https://www.soulgrindcoffee.com,Pacifica,"[67.0099, 24.8615]"
Soul Work Coffee,https://www.soulworkcoffee.com,Berkeley,"[67.0099, 24.8615]"
Souvenir Coffee,https://www.souvenir-coffee.com,Berkeley,"[67.0099, 24.8615]"
Tico Coffee Roasters,https://www.ticoroasters.com,Campbell,"[67.0099, 24.8615]"
Timeless Coffee,https://timelesscoffee.com,Oakland,"[67.0099, 24.8615]"
Unleashed Coffee,https://unleashedcoffee.com,San Rafael,"[67.0099, 24.8615]"
Verve Coffee Roasters,https://www.vervecoffee.com,Santa Cruz,"[67.0099, 24.8615]"
Voltaire Coffee,https://www.voltairecoffeeroasters.com,San Jose,"[67.0099, 24.8615]"
Voyager Craft Coffee,https://www.voyagercraftcoffeeorders.com,San Jose,"[67.0099, 24.8615]"
Wrecking Ball,https://www.wreckingballcoffee.com,San Francisco,"[67.0099, 24.8615]"
Zolo Coffee,https://zolocoffee.com,Danville,"[67.0099, 24.8615]"
